plant_name,JS_ID,plant_num,PI_num,img_date,voxel_len,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14
4-9-18_Schnable_49-320-JS277-103_2018-04-16_01-34-41_10272700,JS277,320,PI_533998,2018-04-16,8cm,26.3214,51.3597,52.0524,41.5139,28.5732,20.5703,14.0421,,,,,,,,
4-9-18_Schnable_49-321-JS248-396_2018-04-11_01-36-56_9972800,JS248,321,PI_656097,2018-04-11,8cm,19.8314,19.6312,19.7505,24.3501,17.375,18.8168,5.04842,,,,,,,,
4-9-18_Schnable_49-321-JS248-396_2018-04-13_01-36-53_10085800,JS248,321,PI_656097,2018-04-13,8cm,8.85461,31.2365,7.53882,39.3679,10.9155,28.6978,34.6974,10.0718,34.4989,36.7175,,,,,
4-9-18_Schnable_49-321-JS248-396_2018-04-16_01-36-55_10272800,JS248,321,PI_656097,2018-04-16,8cm,20.4157,26.0803,19.434,30.9771,23.8646,22.1682,20.8776,24.1423,18.7246,18.2007,25.9107,16.7954,,,
4-9-18_Schnable_49-323-JS120-175_2018-04-11_01-41-23_9973000,JS120,323,PI_576349,2018-04-11,8cm,47.5223,50.5562,34.0729,37.6623,20.5586,25.7459,31.2807,,,,,,,,
4-9-18_Schnable_49-323-JS120-175_2018-04-13_01-41-20_10086000,JS120,323,PI_576349,2018-04-13,8cm,49.2146,53.9611,34.6021,41.4853,21.2431,18.2882,20.2597,24.6896,,,,,,,
4-9-18_Schnable_49-323-JS120-175_2018-04-16_01-41-24_10273000,JS120,323,PI_576349,2018-04-16,8cm,52.9513,51.6086,38.3874,48.071,26.2535,22.6132,23.8345,26.282,,,,,,,
4-9-18_Schnable_49-324-JS247-395_2018-04-11_01-43-36_9973100,JS247,324,PI_656096,2018-04-11,8cm,26.3568,21.3389,21.8708,15.6196,21.7847,13.0476,18.8171,,,,,,,,
4-9-18_Schnable_49-324-JS247-395_2018-04-13_01-43-33_10086100,JS247,324,PI_656096,2018-04-13,8cm,31.13,20.0529,23.2807,17.853,15.2492,12.2327,20.4815,,,,,,,,
4-9-18_Schnable_49-324-JS247-395_2018-04-16_01-43-39_10273100,JS247,324,PI_656096,2018-04-16,8cm,21.671,25.0006,19.8228,27.5092,12.2895,18.2005,14.7442,22.6197,,,,,,,
4-9-18_Schnable_49-325-JS117-172_2018-04-11_01-45-49_9973200,JS117,325,PI_576345,2018-04-11,8cm,23.0106,20.9246,18.4926,17.6258,26.6571,18.1769,21.2826,,,,,,,,
4-9-18_Schnable_49-325-JS117-172_2018-04-13_01-45-47_10086200,JS117,325,PI_576345,2018-04-13,8cm,18.452,22.7079,15.7057,16.9232,20.0922,10.6647,23.9814,22.8037,,,,,,,
4-9-18_Schnable_49-325-JS117-172_2018-04-16_01-45-57_10273200,JS117,325,PI_576345,2018-04-16,8cm,17.4485,20.8438,14.3021,17.9428,17.083,11.2031,20.03,,,,,,,,
4-9-18_Schnable_49-326-JS226-358_2018-04-11_01-48-02_9973300,JS226,326,PI_656059,2018-04-11,8cm,31.6562,27.802,10.9867,23.4164,19.8019,18.4613,37.244,30.7243,26.6404,,,,,,
4-9-18_Schnable_49-326-JS226-358_2018-04-13_01-48-00_10086300,JS226,326,PI_656059,2018-04-13,8cm,27.4336,34.0044,11.6529,20.745,15.9677,23.6691,14.1492,19.3422,20.3594,33.28,42.2966,,,,
4-9-18_Schnable_49-326-JS226-358_2018-04-16_01-48-07_10273300,JS226,326,PI_656059,2018-04-16,8cm,9.87868,13.8357,57.0285,10.9588,48.7137,10.5758,10.6599,32.0963,41.0187,42.1301,36.596,20.9987,54.1185,58.4146,36.256
4-9-18_Schnable_49-327-JS88-125_2018-04-11_01-50-21_9973400,JS88,327,PI_534108,2018-04-11,8cm,175.893,31.3852,35.9265,23.4931,13.9867,28.7773,16.5392,7.91701,39.4089,,,,,,
4-9-18_Schnable_49-327-JS88-125_2018-04-13_01-50-15_10086400,JS88,327,PI_534108,2018-04-13,8cm,33.0844,32.2059,25.6196,26.8424,21.1928,23.5656,26.175,24.1858,33.1891,,,,,,
4-9-18_Schnable_49-327-JS88-125_2018-04-16_01-50-22_10273400,JS88,327,PI_534108,2018-04-16,8cm,43.5537,28.6078,32.9428,20.5999,32.1503,42.5921,18.5009,25.5115,37.2843,41.8911,,,,,
4-9-18_Schnable_49-328-JS31-1-53_2018-04-11_01-52-35_9973500,JS31,328,PI_533866,2018-04-11,8cm,25.6883,26.5956,19.7152,20.2251,22.4196,11.3973,,,,,,,,,
4-9-18_Schnable_49-328-JS31-1-53_2018-04-13_01-52-29_10086500,JS31,328,PI_533866,2018-04-13,8cm,27.5333,26.6758,19.6295,6.95689,19.6891,8.12125,13.7943,,,,,,,,
4-9-18_Schnable_49-328-JS31-1-53_2018-04-16_01-52-35_10273500,JS31,328,PI_533866,2018-04-16,8cm,27.4726,18.9173,25.7964,21.2327,16.9401,16.6684,4.99505,,,,,,,,
4-9-18_Schnable_49-329-JS116-171_2018-04-11_01-54-47_9973600,JS116,329,PI_576340,2018-04-11,8cm,39.8231,56.1099,52.4089,24.175,53.4103,45.8587,74.074,44.3729,34.9432,24.3907,23.1377,8.61263,,,
4-9-18_Schnable_49-329-JS116-171_2018-04-13_01-54-42_10086600,JS116,329,PI_576340,2018-04-13,8cm,67.1285,35.223,43.8533,40.1977,41.6592,33.016,23.3752,27.4598,36.2077,27.5901,,,,,
4-9-18_Schnable_49-329-JS116-171_2018-04-16_01-54-49_10273600,JS116,329,PI_576340,2018-04-16,8cm,26.3274,43.4766,37.8527,31.8992,33.276,77.8655,80.4914,22.3773,24.5906,28.9675,21.0069,,,,
4-9-18_Schnable_49-330-JS27-47_2018-04-11_01-57-01_9973700,JS27,330,PI_533845,2018-04-11,8cm,36.352,16.5198,31.5684,31.8122,28.7909,24.6072,8.24769,20.686,,,,,,,
4-9-18_Schnable_49-330-JS27-47_2018-04-13_01-56-55_10086700,JS27,330,PI_533845,2018-04-13,8cm,50.3045,34.3614,32.5482,26.958,22.8337,12.4359,6.29557,,,,,,,,
4-9-18_Schnable_49-330-JS27-47_2018-04-16_01-57-03_10273700,JS27,330,PI_533845,2018-04-16,8cm,45.201,34.8342,31.189,37.0229,25.2844,25.854,22.7173,25.6766,,,,,,,
