PI_num,cam3pam_
PI597957,26.1593333333333
PI629059,12.3683825
PI656110,12.9082063333333
PI656071,19.4398166666667
PI533794,36.0779025
PI533754,39.0618133333333
PI656086,35.5734475
PI656071,22.6667833333333
PI533869,26.1892333333333
PI576347,26.6610326666667
PI656070,18.4603711111111
PI656069,17.6081111111111
PI533987,48.1438611111111
PI561072,6.7403
PI656075,32.76985
PI656106,15.10705
PI656104,27.37097
PI329435,13.6896911111111
PI534138,52.1169111111111
PI656106,13.5502
PI534124,11.02043
PI576352,42.4108755555555
PI576352,42.1428633333333
PI597965,12.3103666666667
PI533967,26.1112833333333
PI576352,54.7836888888889
PI656075,26.2151777777778
PI597950,10.1906683333333
PI655992,24.0252
PI534046,9.82897333333333
PI597982,29.6474333333333
PI656104,14.9291333333333
PI533830,37.2325333333333
PI597958,43.8665333333333
PI534021,9.60602666666666
PI564165,65.516875
PI534127,20.36904
PI533903,17.8342427777778
PI597949,15.4362294444445
PI597949,15.8104332666667
PI533986,36.4590588888889
PI656071,21.7633888888889
PI533976,30.1850833333333
PI597958,15.67151
PI533936,23.1538833333333
PI548797,38.7147033333333
PI533792,27.0590434166667
PI656077,15.1184888888889
PI656003,61.1933833333333
PI533903,25.1985909027778
PI597946,26.4659994444444
PI597972,36.3426266666667
PI595744,31.3762911111111
PI534137,16.6733988888889
PI597950,52.1277833333333
PI533924,7.38116833333332
PI585291,20.4461638888889
PI656119,45.7784333333333
PI656108,40.4390722222222
PI533964,29.7364362222222
PI533852,51.66155
PI656071,23.5501333333333
PI656089,18.2736422222222
PI597976,46.3632444444444
PI656075,47.2981833333333
PI656009,26.876125
PI533758,39.6197116666667
PI656118,29.2258844444444
PI533955,12.1240544444444
PI533962,34.3754877777778
PI533997,40.2073777777778
PI534037,46.5631377777778
PI656087,24.02987
PI534148,34.0097
PI533842,33.323432
PI533792,25.5479133333333
PI595744,63.688025
PI534097,19.6253911111111
PI656075,56.7728688888889
PI597952,20.6377919444444
PI656005,57.22665
PI656061,7.19725833333335
PI656112,12.4447111111111
PI534046,36.3141766666667
PI659753,19.5213222222222
PI656118,27.1481783333333
PI533821,35.3672877777778
PI576350,37.7190966666667
PI534054,66.944511
PI533910,30.100925
PI576387,36.9285979444444
PI534114,15.3193
PI533949,7.42674000000001
PI534101,26.6647266666667
PI656094,22.1615977777778
PI656044,32.9015111111111
PI656019,28.9090833333333
PI534099,29.2132833333333
PI656102,43.1921016666667
PI576352,23.1090333333334
PI533903,17.4224272222222
PI533830,33.6110333333333
PI576393,22.9507222222222
PI656081,47.3606666666667
PI576387,55.7969055555556
PI597966,13.8485311111111
PI656030,19.6972444444445
PI576396,13.8452666666667
PI656036,49.01865
PI655997,60.2867222222222
PI597946,28.6659577777778
PI613536,75.42835
PI533766,35.0450333333334
PI533956,13.8563955555556
PI533752,20.354
PI656037,11.7339655555555
PI576394,41.331075
PI534123,61.9605855555556
PI533954,31.2482966666667
PI533759,17.61027
PI533996,30.1894766666667
PI656026,47.5868166666667
PI534009,37.3044277777778
PI659695,27.5772393333333
PI597950,13.6011911111111
PI533961,27.5050683333333
PI656008,11.7824
PI656055,40.0109166666667
PI659693,63.7565333333333
PI576390,51.4382277777778
PI656058,63.7009
PI595702,53.3066061111111
PI656060,22.5377722222222
PI659696,50.3495697222222
PI533912,27.7931444444445
PI656034,36.7076333333333
PI533957,65.9279444444444
PI534104,26.4948777777778
PI576380,34.7018666666667
PI533956,24.2053153333333
PI642791,25.8362666666667
PI656100,17.9247533333333
PI656105,14.6776411111111
PI542406,58.2176666666667
PI597973,46.5516944444444
PI533940,46.248425
PI656058,21.5231922222222
PI576387,12.5109972222222
PI534117,13.1400526666667
PI533965,22.4361416666667
PI585295,17.4659311111111
PI533902,6.25886222222222
PI576366,17.5608755555556
PI642793,21.9253883333333
PI656071,29.8517333333333
PI576422,18.8950494444444
PI597946,12.7005583333333
PI533807,18.1487105555556
PI656011,39.7450883333333
PI595741,14.24
PI656104,18.6991
PI542406,22.2279344444444
PI642791,19.1664995555556
PI533785,27.5403294444445
PI533852,75.5822833333333
PI656100,59.7060833333333
PI534112,44.0839833333333
PI629059,14.4802283333333
PI533871,9.71912999999999
PI656109,22.0196133333333
PI576373,22.3962933333333
PI576373,31.6818888888889
PI534163,23.5693366666667
PI533998,5.25024250000001
PI656112,15.5256
PI597946,30.8913511111111
PI656058,7.81764333333333
PI533991,17.1457687222222
PI656014,38.0495666666667
PI533998,11.2867393333333
PI656006,23.8696711111111
PI656093,19.6943966666667
PI656108,47.52244
PI534105,23.9515622222222
PI576339,30.29065
PI533800,33.5424
PI597946,17.5928322222222
PI659695,18.0637833333333
PI576401,17.85065
PI534079,19.4248
PI656004,7.82864111111111
PI533919,18.8729383333334
PI533919,NA
