plant_name,JS_ID,plant_num,PI_num,img_date,voxel_len,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14
4-9-18_Schnable_49-316-JS180-270_2018-04-11_01-25-48_9972300,JS180,316,PI_655975,2018-04-11,4cm,22.1542,170.716,8.45893,-1.27157,154.823,-179,-155.57,-11.4247,-7.63022,-146.773,,,,,
4-9-18_Schnable_49-316-JS180-270_2018-04-13_01-25-44_10085300,JS180,316,PI_655975,2018-04-13,4cm,-162.121,-167.998,-19.5356,179.714,-6.34619,81.3773,-156.75,14.711,36.4411,47.6989,164.915,,,,
4-9-18_Schnable_49-316-JS180-270_2018-04-16_01-25-47_10272300,JS180,316,PI_655975,2018-04-16,4cm,-149.59,179.357,-27.1506,166.718,-5.75061,74.1799,1.43592,-5.8427,-160.646,-161.75,75.3092,-117.002,,,
4-9-18_Schnable_49-317-JS221-348_2018-04-11_01-28-03_9972400,JS221,317,PI_656051,2018-04-11,4cm,35.0907,-121.857,-103.956,5.90807,0.981732,-165.382,66.2991,-174.794,32.9525,,,,,,
4-9-18_Schnable_49-317-JS221-348_2018-04-13_01-27-58_10085400,JS221,317,PI_656051,2018-04-13,4cm,19.2216,-136.747,-56.5371,-150.76,-4.50607,168.721,22.0456,149.968,36.2171,-2.17578,,,,,
4-9-18_Schnable_49-317-JS221-348_2018-04-16_01-28-01_10272400,JS221,317,PI_656051,2018-04-16,4cm,-146.465,-12.6409,-73.3158,-178.564,-64.1602,121.444,-40.2396,136.596,8.64036,142.054,-47.3238,,,,
4-9-18_Schnable_49-318-JS222-350_2018-04-11_01-30-16_9972500,JS222,318,PI_656053,2018-04-11,4cm,14.4552,-120.566,-27.2369,178.354,9.02399,-149.612,0.107382,-26.0931,-150.624,93.1465,,,,,
4-9-18_Schnable_49-318-JS222-350_2018-04-13_01-30-16_10085500,JS222,318,PI_656053,2018-04-13,4cm,56.9589,-179.737,93.9667,143.937,177.597,-3.07219,9.07224,23.7091,156.43,126.016,74.9709,-80.87,9.12772,,
4-9-18_Schnable_49-318-JS222-350_2018-04-16_01-30-14_10272500,JS222,318,PI_656053,2018-04-16,4cm,177.999,141.635,14.3774,11.522,-179.931,-20.4257,-136.535,-166.796,169.866,-93.9195,-62.2165,133.973,,,
4-9-18_Schnable_49-319-JS117-172_2018-04-11_01-32-29_9972600,JS117,319,PI_576345,2018-04-11,4cm,-156.973,15.3524,-127.374,48.5622,-125.91,49.8482,-131.385,49.4965,-179.188,,,,,,
4-9-18_Schnable_49-319-JS117-172_2018-04-13_01-32-24_10085600,JS117,319,PI_576345,2018-04-13,4cm,109.118,13.764,-163.725,-171.836,-77.5885,-18.8615,87.2349,177.713,3.44655,172.47,,,,,
4-9-18_Schnable_49-319-JS117-172_2018-04-16_01-32-28_10272600,JS117,319,PI_576345,2018-04-16,4cm,117.427,16.6063,-173.317,-127.712,111.877,-83.6157,-7.70608,-17.831,-165.033,-168.326,62.1583,165.119,-3.86511,,
4-9-18_Schnable_49-320-JS277-103_2018-04-11_01-34-42_9972700,JS277,320,PI_533998,2018-04-11,4cm,24.6858,175.268,168.603,-18.9522,162.664,7.02249,,,,,,,,,
4-9-18_Schnable_49-320-JS277-103_2018-04-13_01-34-40_10085700,JS277,320,PI_533998,2018-04-13,4cm,-134.579,15.3052,-1.74492,167.773,-160.704,2.76463,,,,,,,,,
4-9-18_Schnable_49-320-JS277-103_2018-04-16_01-34-41_10272700,JS277,320,PI_533998,2018-04-16,4cm,-118.205,25.3498,18.8512,-163.595,21.5403,164.955,-21.3967,,,,,,,,
4-9-18_Schnable_49-321-JS248-396_2018-04-11_01-36-56_9972800,JS248,321,PI_656097,2018-04-11,4cm,48.3764,-172.651,29.2044,-96.2597,43.4002,-152.675,5.95804,,,,,,,,
4-9-18_Schnable_49-321-JS248-396_2018-04-13_01-36-53_10085800,JS248,321,PI_656097,2018-04-13,4cm,16.1971,168.313,42.4254,165.311,12.1961,-174.688,-171.499,61.4807,-36.5017,14.0278,,,,,
4-9-18_Schnable_49-321-JS248-396_2018-04-16_01-36-55_10272800,JS248,321,PI_656097,2018-04-16,4cm,3.50365,160.618,-2.68765,160.733,169.237,38.571,-133.281,7.62945,-78.7442,36.2479,144.247,-108.377,,,
4-9-18_Schnable_49-323-JS120-175_2018-04-11_01-41-23_9973000,JS120,323,PI_576349,2018-04-11,4cm,-11.0125,-138.448,27.761,-128.979,59.3887,-110.92,34.7451,,,,,,,,
4-9-18_Schnable_49-323-JS120-175_2018-04-13_01-41-20_10086000,JS120,323,PI_576349,2018-04-13,4cm,29.1013,-87.0038,88.6063,-74.7589,121.097,-54.2815,116.962,-40.6458,,,,,,,
4-9-18_Schnable_49-323-JS120-175_2018-04-16_01-41-24_10273000,JS120,323,PI_576349,2018-04-16,4cm,69.8121,-35.6618,131.503,-18.5015,-165.904,-15.4106,179.986,16.013,,,,,,,
4-9-18_Schnable_49-324-JS247-395_2018-04-11_01-43-36_9973100,JS247,324,PI_656096,2018-04-11,4cm,-33.1503,169.88,-11.3838,-154.291,-93.8115,177.421,34.618,,,,,,,,
4-9-18_Schnable_49-324-JS247-395_2018-04-13_01-43-33_10086100,JS247,324,PI_656096,2018-04-13,4cm,-106.013,62.8373,-112.867,118.737,-107.305,148.318,-91.5596,,,,,,,,
4-9-18_Schnable_49-324-JS247-395_2018-04-16_01-43-39_10273100,JS247,324,PI_656096,2018-04-16,4cm,-129.498,-43.2402,-119.911,71.6991,-24.2626,-98.261,50.5537,-175.051,,,,,,,
4-9-18_Schnable_49-325-JS117-172_2018-04-11_01-45-49_9973200,JS117,325,PI_576345,2018-04-11,4cm,2.43005,-120.57,27.9181,-92.035,4.29405,-111.969,12.174,,,,,,,,
4-9-18_Schnable_49-325-JS117-172_2018-04-13_01-45-47_10086200,JS117,325,PI_576345,2018-04-13,4cm,38.3635,-65.137,76.5255,-90.0163,63.695,92.0012,-102.472,41.868,,,,,,,
4-9-18_Schnable_49-325-JS117-172_2018-04-16_01-45-57_10273200,JS117,325,PI_576345,2018-04-16,4cm,-17.6612,-125.638,3.56772,-107.132,51.07,-137.579,-3.04195,,,,,,,,
