,,,,Leaf 1,,,Leaf 2,,,Leaf 3,,,Leaf 4,,,Leaf 5,,,Leaf 6,,,Leaf 7,,,Leaf 8,,,Leaf 9,,,Leaf 10,,,Leaf 11,,,Leaf 12,,,Leaf 13,,,Leaf 14,,,Leaf 15,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-284-js165-237_2018-04-13_12-14-04_10082100,0.83969,TRUE,0.0403435,-0.419765,43.9389,-14.4463,-0.390411,37.5106,170.018,-0.351272,41.1584,-11.8173,-0.306262,33.4833,162.485,-0.265166,27.3319,-14.0018,-0.14775,28.5894,173.652,-0.14775,19.554,-72.7505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-284-js165-237_2018-04-16_12-14-07_10269100,0.843481,TRUE,0.0941371,-0.394325,41.0635,145.463,-0.355186,41.7458,-31.9152,-0.312133,37.4952,135.883,-0.282779,31.3691,-33.5353,-0.220157,25.7212,138.635,-0.112524,27.6063,-176.94,-0.108611,21.1331,-74.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-285-JS147-2-214_2018-04-11_12-16-48_9969200,0.8621,TRUE,0.0819118,-0.394325,32.5411,-16.2886,-0.374755,32.6318,-109.638,-0.33953,25.3057,7.93431,-0.300391,21.2256,-133.717,-0.272994,19.5601,18.6803,-0.196673,27.4822,31.1792,-0.182975,19.5389,-162.363,-0.182975,7.96896,148.826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-285-JS147-2-214_2018-04-13_12-16-42_10082200,0.856639,TRUE,0.0425608,-0.392368,33.4646,-24.6936,-0.380626,34.9209,-114.698,-0.33953,24.6938,-17.6973,-0.302348,22.3244,-144.02,-0.280822,23.5577,-9.69274,-0.214286,15.5429,-160.693,-0.177104,9.92464,41.8978,-0.177104,1.06017,25.1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-285-JS147-2-214_2018-04-16_12-16-50_10269200,0.877514,FALSE,0.142884,-0.433464,56.7963,9.26843,-0.431507,28.9639,-43.6071,-0.425636,19.1336,-37.9984,-0.38454,33.1691,-112.196,-0.376712,54.6104,-27.5503,-0.374755,39.7078,32.4597,-0.33953,28.4917,-18.4768,-0.310176,20.7742,-157.339,-0.278865,29.0441,-17.711,-0.263209,21.0901,178.835,-0.259295,25.5832,34.0953,-0.257339,20.1359,-47.1738,-0.159491,32.9808,-0.0638427,-0.0949119,23.7341,63.7815,-0.092955,16.8383,-14.6153,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-286-js259-417_2018-04-11_12-19-03_9969300,0.821551,TRUE,0.143446,-0.45499,80.6695,22.4563,-0.337573,37.6427,118.623,-0.310176,32.4252,-48.4005,-0.276908,26.4434,126.493,-0.231898,35.8118,-48.8788,-0.179061,29.5125,116.388,-0.0851272,26.3963,-13.4288,-0.0851272,24.3603,109.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-286-js259-417_2018-04-13_12-18-57_10082300,0.706935,TRUE,error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-286-js259-417_2018-04-16_12-18-59_10269300,0.825093,FALSE,0.220918,-0.447162,82.2598,69.187,-0.382583,27.7427,147.187,-0.284736,26.3765,168.248,-0.257339,28.3901,-14.835,-0.220157,26.9442,-177.154,-0.204501,57.7131,55.1315,-0.202544,63.7884,19.2748,-0.200587,77.3583,7.99916,-0.161448,32.2292,18.5333,-0.15362,34.7779,76.2004,-0.151663,25.8655,150.799,-0.0342466,32.1683,74.5528,-0.0342466,23.9112,158.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-287-js41-1-68_2018-04-11_12-21-17_9969400,0.851366,FALSE,0.035225,-0.376712,46.5917,0.511945,-0.300391,73.2788,177.85,-0.296477,67.3808,167.577,-0.278865,44.7436,1.69208,-0.233855,26.4778,-170.75,-0.196673,23.7425,41.5117,-0.196673,10.7188,46.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-287-js41-1-68_2018-04-13_12-21-10_10082400,0.855798,TRUE,0.0455595,-0.400196,37.6476,6.35403,-0.353229,49.4628,-174.961,-0.351272,45.2036,158.551,-0.278865,46.9616,15.6742,-0.237769,27.3142,-161.843,-0.169276,24.8203,36.3735,-0.169276,28.3099,-164.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-287-js41-1-68_2018-04-16_12-21-12_10269400,0.870731,FALSE,0.0361373,-0.415851,26.6962,23.5439,-0.337573,66.712,145.948,-0.31409,79.6183,-179.477,-0.312133,73.2058,167.984,-0.286693,46.8605,14.6068,-0.235812,39.3574,-163.984,-0.188845,21.8379,20.0454,-0.106654,28.4834,-171.165,-0.104697,17.8328,-25.0995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-288-js224-354_2018-04-11_12-23-30_9969500,0.879578,TRUE,0.116713,-0.411937,21.1106,-3.31931,-0.380626,24.3379,-109.714,-0.341487,19.5825,4.19181,-0.282779,23.7066,-105.167,-0.249511,17.627,-4.48983,-0.171233,22.8491,162.141,-0.10274,24.5838,47.9611,-0.10274,25.6942,150.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-288-js224-354_2018-04-13_12-23-23_10082500,0.880588,TRUE,0.270059,-0.38454,25.8603,-49.2676,-0.355186,22.9503,-27.3302,-0.347358,20.0524,65.9997,-0.300391,28.7492,-24.9157,-0.253425,18.6628,51.5104,-0.177104,28.125,-117.988,-0.0988258,32.4527,87.2937,0.05773,36.8024,172.648,0.0596869,41.3156,132.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-288-js224-354_2018-04-16_12-23-25_10269500,0.881663,FALSE,0.229981,-0.456947,68.9469,-59.0333,-0.368885,9.10492,-73.9069,-0.341487,30.7205,-119.572,-0.341487,49.1642,-143.431,-0.17319,16.2686,-46.9815,-0.161448,55.0782,-165.934,-0.020548,47.7012,168.497,0.163405,76.4593,114.732,0.165362,20.0379,114.078,0.167319,51.1498,24.8087,0.167319,66.3861,102.939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-289-JS254-408_2018-04-11_12-25-45_9969600,0.821732,TRUE,0.0388936,-0.40411,19.3981,-73.3703,-0.398239,18.2893,74.8693,-0.396282,10.6635,82.2141,-0.341487,11.5948,174.859,-0.292564,16.8017,-3.17771,-0.179061,18.6524,7.5498,-0.124266,20.2288,-169.624,-0.124266,10.6997,-65.8475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-289-JS254-408_2018-04-13_12-25-37_10082600,0.847292,FALSE,0.0654335,-0.417808,26.1588,-69.009,-0.392368,17.8115,74.8589,-0.392368,10.6394,106.517,-0.353229,12.0701,135.177,-0.308219,17.9097,-22.6761,-0.24364,9.05356,-169.559,-0.169276,15.3538,-170.169,-0.167319,21.3094,-18.1632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-289-JS254-408_2018-04-16_12-25-38_10269600,0.866289,TRUE,0.0695199,-0.437378,26.8155,-16.3011,-0.40998,20.2463,37.609,-0.357143,7.61579,143.246,-0.318004,24.7811,8.00387,-0.294521,10.0146,67.0884,-0.247554,20.7283,26.7102,-0.190802,6.5494,-18.5553,-0.092955,6.45907,-43.7765,-0.092955,6.08528,-161.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-290-js12-3-22_2018-04-11_12-27-58_9969700,0.831825,TRUE,0.0994391,-0.382583,44.3499,-8.04993,-0.355186,47.9467,-177.034,-0.312133,28.8353,2.7815,-0.237769,16.9627,-140.981,-0.235812,20.4014,-11.9931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-290-js12-3-22_2018-04-13_12-27-50_10082700,0.838922,TRUE,0.107916,-0.38454,42.4361,-0.427497,-0.3591,51.6208,172.394,-0.323875,34.3361,-3.1263,-0.284736,23.9163,-162.774,-0.177104,6.07677,-19.9332,-0.177104,25.6477,-149.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-290-js12-3-22_2018-04-16_12-27-52_10269700,0.840134,TRUE,0.0553854,-0.417808,16.2053,98.2333,-0.380626,46.7747,-152.105,-0.327789,40.976,46.6637,-0.316047,32.5596,-128.484,-0.253425,16.0986,44.8228,-0.175147,22.1686,-91.2888,-0.175147,16.2636,73.3949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-291-js126-185_2018-04-11_12-30-10_9969800,0.832157,FALSE,0.0861279,-0.374755,27.4332,85.8082,-0.357143,25.6562,10.9157,-0.333659,20.5792,124.586,-0.308219,21.1856,-38.8013,-0.274951,12.9077,134.278,-0.241683,25.1366,-14.5568,-0.237769,39.8425,-39.9322,-0.188845,23.9362,140.33,-0.126223,24.7998,-58.9294,-0.126223,11.2043,-109.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-291-js126-185_2018-04-13_12-30-04_10082800,0.854401,FALSE,0.0676493,-0.388454,30.8572,106.943,-0.357143,29.5545,51.4331,-0.335616,17.3558,132.068,-0.278865,21.5836,94.3224,-0.182975,21.2701,-48.5718,-0.182975,46.9721,11.9873,-0.181018,56.0317,58.3044,-0.15362,35.6947,175.987,-0.0616438,44.4505,162.67,-0.0616438,33.7353,-151.492,-0.0538161,34.2846,-42.6492,-0.0538161,17.9919,-52.1911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-291-js126-185_2018-04-16_12-30-07_10269800,0.676613,FALSE,0.17722,-0.204501,61.0171,68.261,-0.175147,50.9078,-139.433,-0.149706,69.2415,1.2199,-0.14775,38.3424,-117.092,-0.14775,27.1599,13.1598,-0.145793,50.0647,8.59136,-0.141879,25.4093,-2.11367,-0.137965,57.7971,-123.454,-0.136008,51.4745,18.0117,-0.136008,16.4686,90.9791,-0.122309,41.2628,147.729,-0.122309,31.0037,154.758,-0.118395,70.0327,-101.223,-0.118395,75.0031,-120.478,-0.0909981,48.055,-94.4302,-0.0909981,44.9872,-137.166,-0.0616438,50.9808,-120.592,-0.0616438,28.3362,1.159,-0.055773,45.319,-149.079,-0.0518591,86.1068,-176.14,-0.0499021,39.8981,-175.702,,,,,,
4-9-18_Schnable_49-292-js197-306_2018-04-11_12-32-24_9969900,0.823296,TRUE,0.0193728,-0.402153,28.7313,16.6659,-0.388454,65.6963,-160.493,-0.372798,22.1476,-178.14,-0.319961,16.8588,14.3725,-0.227984,17.7696,-163.579,-0.227984,21.9323,12.8406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-292-js197-306_2018-04-13_12-32-18_10082900,0.815513,FALSE,0.0322748,-0.421722,77.2781,-171.162,-0.419765,48.2873,-164.252,-0.406067,28.356,48.6471,-0.376712,26.0792,-168.953,-0.329746,15.4531,45.5567,-0.259295,6.36042,-13.7323,-0.259295,18.9923,-158.961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-292-js197-306_2018-04-16_12-32-21_10269900,0.808961,FALSE,0.050843,-0.437378,85.0235,-165.531,-0.406067,28.0689,76.3636,-0.38454,71.8141,-173.473,-0.38454,67.8923,150.385,-0.378669,34.8294,177.932,-0.333659,13.9914,69.3157,-0.300391,26.6487,-161.685,-0.177104,10.8918,57.4595,-0.175147,22.1297,-169.908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-293-JS235-376_2018-04-11_12-34-43_9970000,0.867256,TRUE,0.121425,-0.378669,42.6699,-11.7706,-0.33953,44.4512,-178.184,-0.312133,39.3057,-13.6271,-0.267123,24.8325,-172.188,-0.19863,20.3583,-7.96045,-0.0851272,25.8018,-144.331,-0.0851272,28.5507,-26.3535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-293-JS235-376_2018-04-13_12-34-31_10083000,0.870711,TRUE,0.0395768,-0.380626,44.5686,-22.6994,-0.345401,44.1863,157.026,-0.316047,41.7982,-15.1998,-0.26908,26.6892,-174.388,-0.212329,25.3693,-20.7933,-0.108611,15.2648,-160.582,-0.0577299,25.0977,-39.0901,-0.0538161,8.73871,171.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-293-JS235-376_2018-04-16_12-34-34_10270000,0.864195,TRUE,0.167179,-0.382583,44.4716,49.5307,-0.347358,45.7302,-143.075,-0.316047,44.5739,62.2658,-0.271037,29.62,-113.317,-0.237769,33.8025,46.1573,-0.167319,17.827,-121.781,-0.15362,15.5979,-141.54,-0.0596869,21.2353,26.0841,0.00293541,17.3306,-100.894,0.00684929,9.19879,65.8316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-294-EMPTY-_2018-04-11_12-36-53_9970100,0,error,error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-294-EMPTY-_2018-04-13_12-36-45_10083100,0,error,error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-294-EMPTY-_2018-04-16_12-36-47_10270100,0,error,error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-295-JS66-95_2018-04-11_12-39-06_9970200,0.806657,TRUE,0.0887557,-0.378669,42.6482,-165.114,-0.355186,47.2985,22.0178,-0.337573,39.8536,-173.824,-0.306262,37.7404,8.94484,-0.263209,28.5461,-168.299,-0.188845,11.4471,-26.6349,-0.175147,24.5162,98.007,-0.0675147,27.1145,-166.321,-0.0636008,18.8366,-47.0023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-295-JS66-95_2018-04-13_12-38-58_10083200,0.826977,TRUE,0.0967849,-0.380626,45.491,94.5306,-0.353229,45.5355,-61.8685,-0.335616,45.0042,98.3206,-0.306262,38.0122,-70.7917,-0.278865,39.6668,104.864,-0.19863,18.5125,-103.818,-0.118395,34.1681,104.615,0.00293541,26.0255,-125.645,0.00293541,24.7856,123.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-295-JS66-95_2018-04-16_12-39-00_10270200,0.831797,FALSE,error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-296-JS214-336_2018-04-11_12-41-20_9970300,0.780696,FALSE,0.162474,-0.396282,42.5388,158.387,-0.3591,29.9475,-1.10585,-0.316047,31.3753,-179.918,-0.302348,24.5178,-38.2834,-0.220157,17.2797,-124.342,-0.2182,26.4173,174.006,-0.120352,40.6931,144.756,-0.120352,36.7991,46.7266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-296-JS214-336_2018-04-13_12-41-11_10083300,0.738389,TRUE,0.099881,-0.40998,37.3159,-95.9881,-0.3591,32.4731,109.579,-0.316047,32.3155,-66.6111,-0.300391,22.5216,88.1891,-0.24364,29.3703,-59.3802,-0.186888,10.4302,153.236,-0.100783,24.9686,-172.515,-0.0949119,32.8147,-111.415,-0.092955,33.8333,-81.3176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-296-JS214-336_2018-04-16_12-41-14_10270300,0.674632,TRUE,0.124647,-0.425636,34.2895,-117.836,-0.357143,41.2998,83.8282,-0.327789,33.6067,-101.201,-0.31409,30.6204,52.784,-0.274951,24.3505,-91.1754,-0.222113,31.6119,105.837,-0.0812133,22.5287,141.466,-0.0812133,39.0173,-105.683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-297-JS3-11_2018-04-11_12-43-34_9970400,0.851121,TRUE,0.0299355,-0.374755,38.4317,-41.9274,-0.355186,32.6191,158.211,-0.319961,30.9138,-41.8514,-0.28865,23.4201,162.935,-0.233855,21.6673,-38.9641,-0.15362,16.4162,166.009,-0.15362,10.8364,8.55515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-297-JS3-11_2018-04-13_12-43-25_10083400,0.776882,TRUE,0.0731699,-0.380626,40.2542,-24.8023,-0.3591,32.6618,-166.057,-0.319961,35.102,-11.0934,-0.290607,26.532,-161.425,-0.249511,26.0111,6.35187,-0.175147,17.5317,-165.158,-0.175147,14.7042,22.0507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-297-JS3-11_2018-04-16_12-43-27_10270400,0.794529,TRUE,0.112554,-0.388454,38.1091,-67.1114,-0.357143,38.0895,162.411,-0.321918,34.826,-50.0073,-0.296477,29.5248,156.811,-0.26908,28.7048,-39.3515,-0.235812,24.7996,149.853,-0.130137,20.8429,-46.68,-0.126223,13.4891,179.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-298-JS238-379_2018-04-11_12-45-46_9970500,0.797053,TRUE,0.0224836,-0.42955,54.5583,-19.4976,-0.40411,36.5711,173.059,-0.380626,36.6278,1.26414,-0.341487,26.6093,177.903,-0.251468,17.2681,4.71918,-0.17319,28.4063,166.942,-0.17319,17.7727,18.6936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-298-JS238-379_2018-04-13_12-45-39_10083500,0.804059,TRUE,0.0562771,-0.433464,58.6046,-20.6716,-0.408023,36.1788,-171.288,-0.380626,41.1037,4.47464,-0.343444,27.1638,-163.93,-0.255382,21.2989,2.54054,-0.206458,12.0944,-18.7663,-0.159491,13.2147,172.415,-0.159491,13.2478,153.509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-298-JS238-379_2018-04-16_12-45-41_10270500,0.817549,TRUE,0.131582,-0.437378,52.8284,124.243,-0.408023,37.5345,-11.3773,-0.382583,40.6546,158.746,-0.345401,28.659,-31.3187,-0.274951,21.2139,149.122,-0.216243,15.7354,-52.1542,-0.171233,10.3709,-11.559,-0.157534,16.7174,159.45,-0.157534,7.8569,112.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-299-js294-413_2018-04-11_12-48-00_9970600,0.804183,TRUE,0.0278822,-0.42955,20.4256,-14.5753,-0.396282,19.7994,-128.79,-0.353229,18.1436,-7.11013,-0.296477,16.0319,176.987,-0.257339,19.2461,0.496496,-0.17319,16.2145,162.319,-0.17319,20.3586,6.56465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-299-js294-413_2018-04-13_12-47-54_10083600,0.825252,TRUE,0.038597,-0.435421,20.8371,12.0086,-0.394325,20.7811,-94.7173,-0.364971,19.7062,5.47094,-0.292564,16.7959,-149.901,-0.259295,16.6885,19.3844,-0.175147,25.3459,28.8143,-0.17319,9.58331,-163.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-299-js294-413_2018-04-16_12-47-55_10270600,0.839905,FALSE,0.0666513,-0.427593,158.536,55.9102,-0.419765,24.9309,-15.7422,-0.402153,19.7654,-143.873,-0.357143,16.3527,-29.7997,-0.310176,17.3847,177.9,-0.271037,17.7852,-31.9885,-0.169276,13.7082,159.192,-0.169276,11.9579,-163.561,-0.0694716,33.3836,-18.4392,-0.0675147,28.4819,135.779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-300-js124-183_2018-04-11_12-50-13_9970700,0.880245,TRUE,0.0534859,-0.402153,36.0008,-19.8712,-0.376712,43.7349,172.457,-0.351272,47.5572,-17.285,-0.325832,44.159,155.903,-0.306262,35.7619,-11.5721,-0.259295,25.6716,171.424,-0.165362,35.4179,-29.7637,-0.0499021,32.4719,161.985,-0.0499021,0.809634,-129.732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-300-js124-183_2018-04-13_12-50-08_10083700,0.875059,FALSE,0.118327,-0.411937,67.8931,-16.3479,-0.411937,40.0883,-5.31822,-0.38454,38.3668,-169.795,-0.355186,51.5584,1.7767,-0.329746,42.1325,178.611,-0.306262,41.6379,4.65015,-0.271037,36.8615,-173.828,-0.227984,32.0491,-1.01602,-0.0753425,33.4613,-164.076,-0.0733855,11.8885,109.811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-300-js124-183_2018-04-16_12-50-09_10270700,0.82516,TRUE,0.19089,-0.453033,27.1293,122.652,-0.451076,54.2297,131.687,-0.353229,45.7239,-10.3554,-0.345401,34.4969,8.63118,-0.333659,51.5499,167.657,-0.306262,42.5575,-17.7409,-0.300391,31.6699,-29.084,-0.28865,54.2639,169.934,-0.210372,34.306,-170.011,-0.0440313,17.4542,52.6464,-0.0440313,15.7039,-133.828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
