,,,,Leaf 1,,,Leaf 2,,,Leaf 3,,,Leaf 4,,,Leaf 5,,,Leaf 6,,,Leaf 7,,,Leaf 8,,,Leaf 9,,,Leaf 10,,,Leaf 11,,,Leaf 12,,,Leaf 13,,,Leaf 14,,,Leaf 15,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant name,Accuracy reconstruction,Topology skeleton,Error skeleton,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,height,theta,phi,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-288-js224-354_2018-04-13_12-23-23_10082500,0.880588,TRUE,0.270059,-0.38454,28.1812,-51.8761,-0.355186,22.9503,-27.3302,-0.347358,22.5888,69.2291,-0.300391,29.2114,-30.6025,-0.253425,20.6005,57.7236,-0.177104,26.8139,-112.491,-0.0988258,27.4508,90.8466,0.05773,36.5193,161.018,0.0596869,48.2036,132.729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-288-js224-354_2018-04-16_12-23-25_10269500,0.881663,FALSE,0.229981,-0.456947,73.0836,-55.599,-0.368885,5.81669,-60.1419,-0.341487,33.5844,-117.537,-0.341487,51.2288,-144.853,-0.17319,8.7834,-63.6104,-0.161448,54.1226,-164.357,-0.020548,48.4619,157.74,0.163405,70.397,107.326,0.165362,33.0334,115.727,0.167319,61.001,15.3811,0.167319,66.3861,102.939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-289-JS254-408_2018-04-11_12-25-45_9969600,0.821732,TRUE,0.0388936,-0.40411,19.3981,-73.3703,-0.398239,23.7649,89.9454,-0.396282,10.6635,82.2141,-0.341487,13.8005,-175.985,-0.292564,18.25,-5.45959,-0.179061,20.4342,24.8338,-0.124266,18.3106,-167.998,-0.124266,18.4671,-84.3777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-289-JS254-408_2018-04-13_12-25-37_10082600,0.847292,FALSE,0.0654335,-0.417808,26.1588,-69.009,-0.392368,25.4522,82.425,-0.392368,11.7891,117.165,-0.353229,13.5699,147.702,-0.308219,17.2858,-21.2155,-0.24364,8.36016,163.228,-0.169276,14.825,-172.713,-0.167319,26.2654,13.9714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-289-JS254-408_2018-04-16_12-25-38_10269600,0.866289,TRUE,0.0695199,-0.437378,26.8155,-16.3011,-0.40998,21.9774,54.983,-0.357143,8.94624,149.609,-0.318004,23.1501,13.9742,-0.294521,9.13781,39.4611,-0.247554,20.7078,26.3197,-0.190802,20.494,35.1595,-0.092955,8.23964,-130.248,-0.092955,11.3653,-167.646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-290-js12-3-22_2018-04-11_12-27-58_9969700,0.831825,TRUE,0.0994391,-0.382583,48.2763,-9.68623,-0.355186,53.4448,-175.175,-0.312133,32.6563,1.11394,-0.237769,21.8394,-139.255,-0.235812,18.581,-18.1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-290-js12-3-22_2018-04-13_12-27-50_10082700,0.838922,TRUE,0.107916,-0.38454,46.7035,-2.44195,-0.3591,56.9821,174,-0.323875,38.4055,-5.04381,-0.284736,27.9336,-162.464,-0.177104,9.40151,-27.5242,-0.177104,27.3396,-136.651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-290-js12-3-22_2018-04-16_12-27-52_10269700,0.840134,TRUE,0.0553854,-0.417808,23.6279,76.3927,-0.380626,54.0861,-151.544,-0.327789,44.7698,45.1484,-0.316047,36.5495,-124.917,-0.253425,20.289,52.6907,-0.175147,20.8763,-82.4493,-0.175147,16.5023,71.8603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-291-js126-185_2018-04-11_12-30-10_9969800,0.832157,FALSE,0.0861279,-0.374755,31.3919,85.1739,-0.357143,26.6615,11.9704,-0.333659,24.1427,120.834,-0.308219,21.7756,-37.6859,-0.274951,18.7336,147.38,-0.241683,17.9673,-18.6875,-0.237769,33.9019,-45.6188,-0.188845,17.5715,161.171,-0.126223,19.857,-94.0286,-0.126223,15.5022,-80.6717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-9-18_Schnable_49-291-js126-185_2018-04-13_12-30-04_10082800,0.854401,FALSE,0.0676493,-0.388454,33.8446,107.979,-0.357143,29.9348,48.7909,-0.335616,21.7549,135.7,-0.278865,22.1379,95.8147,-0.182975,19.7718,-23.9583,-0.182975,46.7697,12.2254,-0.181018,39.6596,53.0737,-0.15362,34.9135,178.841,-0.0616438,38.6717,172.928,-0.0616438,36.0226,-142.962,-0.0538161,27.344,-40.8129,-0.0538161,21.3181,-65.5482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
