PI_num,med_,am_,cmed3_,cam3_,med2_,med3_,am2_,am3_,cam3pmed_,cam4pmed_,cam4pam_,blueglm
PI656053,39.25145,34.33408875,42.0776,45.16135,49.304,42.1016,59.8481,42.1016,38.6889,29.47975125,32.11577625,34.3340887500002
PI576345,21.6201,26.827717,32.7801,31.34335,11.8273,41.4213,16.7273333333333,41.4213,31.6289666666667,25.91302125,26.5386379166667,26.827717
PI656097,6.5112,7.80909506363637,10.6082,9.11838285555556,10.6522,10.6082,11.04383,11.15883,7.32930000000001,5.97630000000001,7.31811214166667,7.80909506363618
PI576349,29.5718,34.426375,29.4292,34.5131888888889,8.49619999999999,29.4292,9.20993333333333,27.6005333333333,35.8302666666667,35.4521,34.426375,34.4263749999999
PI656096,12.6137,15.49852,14.2417,16.7174444444444,14.2417,10.0494,11.1554733333333,11.9590266666667,18.6469666666667,15.117275,13.6701333333333,15.4985199999998
PI576345,25.1835,31.0805516666667,24.219,31.3703688888889,4.78990000000002,24.219,5.43826666666668,22.2884,31.8248666666667,31.960475,31.0805516666667,31.0805516666667
PI656059,14.452,16.87367875,14.452,16.4871383333333,40.6656,14.195125,40.6656,14.195125,23.0894416666667,21.82540625,20.71242125,16.87367875
PI534108,10.7365,14.455302,7.63465000000001,13.71057875,5.95680000000002,30.57732,5.14812666666668,25.2535066666667,15.257995,15.802045,14.2689233333333,14.4553019999999
PI533866,6.49180000000003,13.404295,6.44230000000002,12.7108514285714,4.94573,31.502115,4.70157666666667,31.502115,14.127115,15.15993625,15.0988979166667,13.404295
PI576340,20.5176,20.0478857142857,24.1136,23.19454,13.9826,24.1136,13.9826,24.1136,23.3477166666667,20.5561,20.5561,20.0478857142858
PI533845,7.47829999999999,14.7213363636364,9.44319999999999,17.4798125,11.4081,4.08799999999999,11.6125333333333,4.06296666666665,20.6340333333333,17.07415,17.361725,14.7213363636363
PI659695,14.482,23.5101366666667,11.928,21.7530714285714,9.76115,39.9176,9.76115,35.4464,20.96125,23.13590375,22.01810375,23.5101366666666
PI533964,79.4791,79.3471085714286,80.638965,79.81201,81.79883,71.62385,83.3859766666667,71.62385,79.6297033333333,78.8617025,79.2584891666667,79.347108571429
PI607931,13.002805,20.73752,19.3839,24.35212375,12.133,33.7086,12.133,46.4917,18.269,15.27152625,18.81560875,20.7375199999999
